dateobs,mjd,filter,mag,dmag,limmag
2021-06-14,59379.0720364,rp,17.3855706,0.0250402830505,21.6619798998
2021-06-27,59392.045797,rp,17.4258407,0.0420239904727,21.1926296123
2021-06-27,59392.0474909,rp,17.4318634,0.0450223919317,21.1533500363
2021-07-05,59400.0198481,rp,17.4593803,0.0420239904727,21.2502762888
2021-07-05,59400.0215404,rp,17.2805551,0.0410245752598,21.1349781701
2021-12-02,59550.4268833,rp,17.892168,0.0250402830505,21.9925956533
2021-12-02,59550.4306735,rp,17.933354,0.0270373034019,21.9987140031
2021-12-13,59561.1534487,rp,17.9438696,0.02404195864,21.8816708273
2021-12-13,59561.1572275,rp,18.0051392,0.0250402830505,22.0290269099
2022-01-15,59594.7287031,rp,18.110722,0.0190529728717,22.3023710708
2022-01-15,59594.732505,rp,17.996781,0.0160628694587,22.2773279827
2022-01-19,59598.0803744,rp,17.987921,0.0700143969141,21.1706287138
2022-01-19,59598.0841651,rp,18.179524,0.0840119978054,21.2043598414
2022-02-10,59620.1074082,rp,18.059319,0.0270373034019,103.254936395
2022-02-10,59620.1111872,rp,18.077641,0.0290347339449,22.0403137079
2022-03-03,59641.941007,rp,18.364314,0.0740136188498,21.4614975887
2022-03-03,59641.9447861,rp,18.364432,0.0430234328622,103.254936395
2022-04-21,59690.9217829,rp,18.297789,0.0710141941815,103.254936395
2022-05-03,59702.001666,rp,18.3923,0.0340296308421,22.0358880893
2022-05-03,59702.004276,rp,18.3685936,0.0340296308421,22.0189974536
2022-05-25,59724.0670936,rp,18.3774052,0.0520193788434,21.7397117518
2022-05-25,59724.0697017,rp,18.4396303,0.0540186613611,21.8038345697
2022-06-21,59751.0168582,rp,18.640569,0.0670150414105,21.8010025645
2022-11-24,59907.504054,rp,18.826239,0.0480209930681,22.1179677001
2022-11-24,59907.5078333,rp,19.091223,0.0570176794972,22.1438775997
2022-12-08,59921.5205161,rp,18.97031,0.0930108368699,21.7378378743
2022-12-23,59936.3445031,rp,19.132003,0.0510197586749,22.0037168318
2023-01-23,59967.6569841,rp,19.3273125,0.0760132605224,22.1436622218
2023-02-25,60000.5739383,rp,19.2467565,0.0700143969141,103.254936395
2023-03-13,60016.0215519,rp,19.168135,0.087011584144,21.8652965856
2023-03-28,60031.0320624,rp,19.286325,0.0600167957763,22.1452572426
2023-04-26,60060.3778154,rp,19.108544,0.101009978592,21.8446378847
2020-12-15,59198.3453782,gp,17.0257394402,0.0112150954021,22.2131297562
2020-12-21,59204.3416766,gp,17.0697611095,0.00828823445368,22.5319722757
2020-12-27,59210.3189884,gp,17.1029398309,0.0102317531946,22.4217332239
2020-12-27,59210.3216082,gp,17.0929538309,0.00925682307467,22.4846397056
2020-12-31,59214.3045111,gp,17.1876168586,0.036072992585,21.2193543047
2021-01-07,59221.2783925,gp,17.147355198,0.014167878169,22.1890358511
2021-01-07,59221.2810053,gp,17.102535198,0.0131806210708,22.1926524006
2021-01-10,59224.2724034,gp,17.0946510607,0.00732850325367,22.48447461
2021-01-15,59229.0232531,gp,17.1845717182,0.0121946502877,22.3264617477
2021-01-15,59229.0258764,gp,17.1499457182,0.0102327657864,22.3903189739
2021-01-19,59233.0778917,gp,17.278372,0.0102299434556,22.3656048675
2021-01-26,59240.1027591,gp,17.2840831328,0.0121948426029,22.3910548349
2021-01-26,59240.1053787,gp,17.2555671328,0.0121948426029,22.3414145191
2021-02-07,59252.2893946,gp,17.3110650564,0.00828748880747,22.6005423144
2021-02-07,59252.2920147,gp,17.3096490564,0.00828748880747,22.6277994755
2021-02-15,59260.3254238,gp,17.39864156,0.00828759323144,22.665627857
2021-02-15,59260.3280437,gp,17.37235756,0.00828759323144,22.6670339038
2021-02-19,59264.3482959,gp,17.3808258938,0.0112125014167,21.1236212682
2021-02-24,59269.3078437,gp,17.3710700181,0.0102310160422,22.48998878
2021-02-24,59269.3104634,gp,17.3535200181,0.00925600827873,22.5557027384
2021-02-24,59269.3531716,gp,17.3347560181,0.00828695898722,22.5324920113
2021-03-04,59277.1735759,gp,17.3582620965,0.0121962253997,22.3986145352
2021-03-18,59291.1501917,gp,17.493984,0.0102299434556,22.607395709
2021-03-18,59291.1528126,gp,17.49574,0.0102299434556,22.6038090805
2021-03-24,59297.2213572,gp,17.518848,0.0201159574245,22.1332888545
2021-04-09,59313.1019447,gp,17.6879392763,0.0131813673431,22.4743709511
2021-04-09,59313.104559,gp,17.6802312763,0.0131813673431,22.4781426633
2021-04-17,59321.0849947,gp,17.6546799755,0.0092584148567,22.6502920138
2021-04-17,59321.0876339,gp,17.6588059755,0.0131802217606,22.0323872953
2021-06-06,59371.0466888,gp,17.823532,0.0151542648487,103.602017956
2021-06-14,59379.0649264,gp,17.79764349,0.0161496106072,22.4968853062
2021-06-14,59379.0675564,gp,17.91662149,0.0171408845385,22.5021585281
2021-06-27,59392.0403844,gp,17.9889745289,0.0610462152171,21.468303521
2021-06-27,59392.0430004,gp,17.9337605289,0.0590477805877,21.4459809075
2021-12-13,59561.1483137,gp,19.0282868219,0.0340760624347,22.4874481242
2022-01-15,59594.7186314,gp,19.2340150663,0.0460549994906,22.1141389458
2022-01-15,59594.7235717,gp,19.3281870663,0.0430588315922,22.657001932
2022-01-19,59598.0752482,gp,19.4095753941,0.261057905647,21.2706771248
2022-02-10,59620.0973463,gp,19.3992571325,0.0640424399655,22.5100644893
2022-02-10,59620.1022845,gp,19.3116571325,0.056048497899,22.5190270111
2022-03-16,59654.2210457,gp,19.470158,0.2110110228,21.398495952
2022-03-16,59654.2259724,gp,19.19124,0.173013443822,103.602017956
2022-04-03,59672.1236222,gp,19.73078,0.0650357727955,22.6164184404
2022-04-21,59690.9166577,gp,19.8200683646,0.192048586457,21.9230135808
2022-05-02,59701.9915907,gp,19.7048801328,0.105032478796,21.5051250188
2022-05-02,59701.9965408,gp,20.1405601328,0.100034102195,21.869034903
2022-05-25,59724.0619582,gp,20.0526291322,0.0770473502577,22.6932639079
2022-06-10,59740.7252178,gp,19.703352,0.325007156449,21.1735420976
2022-06-21,59751.0091203,gp,19.9897918178,0.0870516824961,22.5990016213
2023-12-18,60296.4657715,rp,20.254813,0.158006378907,22.1072493719
2024-01-05,60314.0698152,rp,20.226462,0.224004499453,21.9174942534
2024-01-05,60314.0736403,rp,19.843699,0.163006183242,21.9066242289
2024-01-20,60329.0315223,rp,20.11604,0.134007521338,22.1310491748
2024-02-03,60343.2782006,rp,19.9719469,0.400002519711,21.2498338991
2024-02-03,60343.2820143,rp,19.709846,0.327003082211,21.2380734957
2024-02-18,60358.9455362,rp,20.878593,0.362002784209,21.9747569934
