"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","instrument_id","snr","magsys","origin","altdata","ra","dec","ra_unc","dec_unc","created_at","streams","owner"
198515992,59372.298055,17.921,0.036000000000000004,19.97,atlasc,ATLAS,72,30.159339021059147,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.804789,mrchu39,
198515993,59372.314818,17.89,0.033,19.95,atlasc,ATLAS,72,32.901097113882706,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.804805,mrchu39,
121933282,59373.18488429999,17.875640869140625,0.05872328206896782,19.295500857012364,ztfg,ZTF,1,18.48902456580989,ab,,,178.3593092,10.8964748,,,2021-06-08T04:35:14.180151,kowalski-bot,ZTF Public
123671950,59373.18488429999,17.875640869140625,0.05872328206896782,20.621379852294922,ztfg,ZTF,1,18.48902456580989,ab,None,,178.3593092,10.8964748,,,2021-06-11T06:24:57.642746,ampelbot-jvs,
121950259,59373.18488429999,17.875600814819336,0.058722998946905136,19.295466037354466,ztfg,ZTF,1,18.489113707217275,ab,,,178.3593092,10.8964748,,,2021-06-08T05:07:29.251698,kowalski-bot,ZTF Public
123112134,59373.18488429999,17.875600814819336,0.058722998946905136,19.295466037354466,ztfg,ZTF,1,18.489113707217275,ab,None,,178.3593092,10.8964748,,,2021-06-11T04:40:33.155716,kowalski-bot,ZTF Public
121950261,59373.20671299985,17.525949478149414,0.06223294511437416,18.882784382140386,ztfi,ZTF,1,17.446325298645608,ab,,,178.3592987,10.8964858,,,2021-06-08T05:07:29.339176,kowalski-bot,ZTF Public+Partnership
123671951,59373.20671299985,17.525949478149414,0.06223294511437416,19.75963020324707,ztfi,ZTF,1,17.446325298645608,ab,None,,178.3592987,10.8964858,,,2021-06-11T06:24:57.642762,ampelbot-jvs,
123112135,59373.2125694002,17.41029930114746,0.04313100129365921,19.1652112390275,ztfr,ZTF,1,25.172988620548118,ab,None,,178.3592894,10.8964668,,,2021-06-11T04:40:33.155731,kowalski-bot,ZTF Public
121956719,59373.2125694002,17.410297393798828,0.04313128069043159,19.165202298449877,ztfr,ZTF,1,25.172825554400784,ab,,,178.3592894,10.8964668,,,2021-06-08T05:18:12.302194,kowalski-bot,ZTF Public
121960696,59373.2125694002,17.410297393798828,0.043131280690431595,20.322147369384766,ztfr,ZTF,1,25.17282555440078,ab,,,178.3592894,10.8964668,,,2021-06-08T05:24:08.089733,ampelbot-jvs,
123671952,59373.2125694002,17.410297393798828,0.043131280690431595,20.322147369384766,ztfr,ZTF,1,25.17282555440078,ab,None,,178.3592894,10.8964668,,,2021-06-11T06:24:57.642778,ampelbot-jvs,
198515994,59374.284181,17.606,0.041,19.56,atlaso,ATLAS,72,26.481370847759255,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.804821,mrchu39,
198515995,59374.286954,17.555,0.045,19.45,atlaso,ATLAS,72,24.127471216847322,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.804835,mrchu39,
198515996,59374.292917,17.58,0.041,19.46,atlaso,ATLAS,72,26.481370847759255,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.804850,mrchu39,
198515997,59374.303087,17.557,0.039,19.48,atlaso,ATLAS,72,27.839389865593063,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.804866,mrchu39,
123112163,59376.18731479999,17.557096481323242,0.05158533528447151,19.117666626337453,ztfi,ZTF,1,21.04738098086887,ab,None,,178.3592868,10.8964905,,,2021-06-11T04:40:33.328098,kowalski-bot,ZTF Public+Partnership
123648378,59376.22050930001,17.855300903320312,0.05551299825310707,19.336199981962825,ztfg,ZTF,1,19.55823390781024,ab,None,,178.3593035,10.896488,,,2021-06-11T06:21:00.950938,kowalski-bot,ZTF Public
123269012,59376.22050930001,17.855257034301758,0.055513262748718255,19.336150939889563,ztfg,ZTF,1,19.558140721663815,ab,None,,178.3593035,10.896488,,,2021-06-11T05:29:21.544205,kowalski-bot,ZTF Public
123671953,59376.22050930001,17.855257034301758,0.05551326274871826,20.2962589263916,ztfg,ZTF,1,19.55814072166381,ab,None,,178.3593035,10.896488,,,2021-06-11T06:24:57.642794,ampelbot-jvs,
126178873,59376.257407399826,17.383499145507812,0.054903998970985406,18.876374990241608,ztfr,ZTF,1,19.775175307938827,ab,None,,178.3593075,10.8964752,,,2021-06-13T04:41:23.449576,kowalski-bot,ZTF Public
123648379,59376.257407399826,17.383495330810547,0.05490435287356376,18.876364177081367,ztfr,ZTF,1,19.775047841077594,ab,None,,178.3593075,10.8964752,,,2021-06-11T06:21:00.951013,kowalski-bot,ZTF Public
123671954,59376.257407399826,17.383495330810547,0.054904352873563766,20.005006790161133,ztfr,ZTF,1,19.77504784107759,ab,None,,178.3593075,10.8964752,,,2021-06-11T06:24:57.642809,ampelbot-jvs,
198515998,59377.268558,17.988,0.039,19.92,atlasc,ATLAS,72,27.839389865593063,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.804882,mrchu39,
198515999,59377.289941,17.878,0.033,19.96,atlasc,ATLAS,72,32.901097113882706,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.804899,mrchu39,
198516000,59377.294097,17.951,0.032,19.95,atlasc,ATLAS,72,33.92925639869154,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.804915,mrchu39,
198516001,59377.300733,18.044,0.03699999999999999,19.92,atlasc,ATLAS,72,29.344221750219717,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.804931,mrchu39,
126178874,59378.18815970002,17.91102409362793,0.049705959856510155,19.51188872086508,ztfg,ZTF,1,21.843179528016435,ab,None,,178.3592946,10.8964856,,,2021-06-13T04:41:23.449662,kowalski-bot,ZTF Public
126242604,59378.18815970002,17.91102409362793,0.04970595985651016,20.48159408569336,ztfg,ZTF,1,21.84317952801643,ab,None,,178.3592946,10.8964856,,,2021-06-13T05:24:54.350423,ampelbot-jvs,
126303487,59378.18815970002,17.910999298095703,0.049706000834703445,19.51186303023919,ztfg,ZTF,1,21.843161520250415,ab,None,,178.3592946,10.8964856,,,2021-06-13T06:06:26.043482,kowalski-bot,ZTF Public
126973748,59378.24714120012,17.406400680541992,0.041143000125885,19.212546577038093,ztfr,ZTF,1,26.38932993306537,ab,None,,178.3592647,10.8964716,,,2021-06-14T06:21:53.449439,kowalski-bot,ZTF Public
126303488,59378.24714120012,17.40638542175293,0.041142985224723816,19.21253171148076,ztfr,ZTF,1,26.38933949074955,ab,None,,178.3592647,10.8964716,,,2021-06-13T06:06:26.043569,kowalski-bot,ZTF Public
127413295,59379.25762729999,17.561119079589844,0.042896732687950134,19.688350677490234,ztfi,ZTF,1,25.310463914728807,ab,None,,178.3592782,10.8964714,,,2021-06-15T05:25:51.207605,ampelbot-jvs,
127472161,59380.20774309989,17.483400344848633,0.07123900204896925,18.69349156638303,ztfr,ZTF,1,15.240755394240376,ab,None,,178.3592677,10.8965022,,,2021-06-15T06:04:37.599245,kowalski-bot,ZTF Public
